Damping_Ns_per_m,MaxBodyDisplacement_m,MaxBodyAcceleration_mps2,RMSBodyAcceleration_mps2,MaxSuspensionTravel_m
100,0.107170673654977,0.0160246021919416,0.00456018774396681,0.00707469348431371
125,0.106262777012367,0.0157949196022043,0.00423686814417387,0.00656720829901107
150,0.105656612759218,0.0158547710973179,0.00407054268087654,0.00619656517270951
175,0.105242986710976,0.0160690495176207,0.00399694738689554,0.00590280016671701
200,0.104953965683058,0.0163605569455535,0.00398140680952661,0.00565606279145128
225,0.104745669787107,0.0166847539346692,0.00400368742587835,0.00543772995658847
250,0.104590047135231,0.0170157654987247,0.00405122531399802,0.0052386994573199
275,0.104471268453258,0.0173387031671126,0.00411583090867192,0.00505196091646674
300,0.104378866875821,0.017646545540308,0.00419195268938271,0.00487594671489291
325,0.104308810220703,0.0179356910991456,0.00427572016882739,0.00470785593752108
350,0.104255930053702,0.0182026440581977,0.00436437426393243,0.00454808622579757
375,0.104217896482319,0.0184467903727053,0.00445592029738587,0.00439413819306246
400,0.104194625185892,0.0186684565638906,0.00454890170013292,0.00424634914910031
425,0.104181958893604,0.0188684831570737,0.00464224901096869,0.00410552490840775
450,0.104180427945509,0.0190480628588492,0.00473517810560626,0.00397001513797041
475,0.104186905417473,0.0192085240290175,0.00482711251391046,0.00383976174987295
500,0.104201552082663,0.0193512865768325,0.00491763846221392,0.00371467686149706
525,0.104223615653384,0.0194777635747773,0.00500645806197637,0.00359464273422139
550,0.1042509939837,0.0195963324579356,0.00509336578066102,0.00347952294457386
575,0.104283335777803,0.0197017027030252,0.00517822298621889,0.00337856966894393
600,0.104320680461508,0.01979489530345,0.00526094566672812,0.00328946107156226
625,0.104360967270926,0.0198770306355821,0.00534148875923669,0.00320515347449078
650,0.104402811720218,0.0199491533895712,0.00541983922405407,0.00312527063853561
675,0.104447966270536,0.0200121925469548,0.0054960028124295,0.00304906700453249
700,0.104494960723927,0.0200670363050913,0.00557000633777955,0.00297631396137883
725,0.10454217094906,0.0201201238448377,0.0056418879717759,0.00290679888590084
750,0.104592053112438,0.0201690043877594,0.00571169549544071,0.00284032411498307
775,0.104641352513055,0.0202119118925296,0.00577948227786089,0.00277670613946655
800,0.104691680492363,0.0202494243452796,0.00584530720130862,0.00271615745669634
825,0.104742893225745,0.0202820574787714,0.00590923002929926,0.00265826318623372
850,0.104791946804048,0.0203103197040036,0.00597131723511091,0.00260270311439713
875,0.104844004356869,0.0203345830399422,0.00603162589445738,0.00254934531732348
900,0.104894822624837,0.0203605661678616,0.0060902278290161,0.00249806694627297
925,0.104943770757804,0.020386190220383,0.00614717840917218,0.00244875355970676
950,0.104994071076357,0.0204088826070169,0.00620254310879453,0.00240129852145728
975,0.105044489801836,0.0204289028107831,0.00625637818952122,0.00235560231241282
1000,0.105093233349542,0.0204465341560642,0.00630874592088849,0.0023115720975695
1025,0.105140403812368,0.0204619923367682,0.00635970185854723,0.00226912115544381
1050,0.105188295922822,0.0204754810845461,0.00640930100565206,0.00222829245798874
1075,0.105236639730588,0.020489909069851,0.00645759565004527,0.00218903298405961
1100,0.105283533951593,0.0205077604865563,0.00650463661823839,0.00215110469440099
1125,0.105329054121026,0.0205240890707537,0.00655047390169991,0.00211444274159571
1150,0.105373269674047,0.0205390232671313,0.00659515367305526,0.00207898630661115
1175,0.105416814897633,0.0205526907421775,0.00663872059728491,0.00204467830577591
1200,0.105461905194039,0.0205651898250238,0.00668121943951776,0.00201146503005736
